District,Year,Month,Date,Rainfall,Temperature,Soil_Moisture,NDVI,SPI3,Rainfall_lag1,SoilMoisture_lag1,NDVI_lag1,Rainfall_lag1_norm,SoilMoisture_lag1_norm,NDVI_norm,Groundwater_Proxy
Jogulamba Gadwal,2020,8,2020-08-01,189.4186988756216,25.77474156983587,0.4636019576361501,0.4145773120968326,1.9954783943608843,254.85692266280816,0.4769265124223179,0.3696916014350944,0.3254645148669399,1.0,0.38631726405868555,0.6074492587585131
Jogulamba Gadwal,2020,9,2020-09-01,309.4004141675703,25.916051126729748,0.4521953676062826,0.4897939726722483,2.812457568559716,189.4186988756216,0.4636019576361501,0.4145773120968326,0.24189676423993697,0.9631463716936043,0.5125995501918865,0.5845371644117938
Jogulamba Gadwal,2020,10,2020-10-01,144.81400419946513,25.64378143207732,0.4357147257794314,0.6062681788321165,2.25084542741838,309.4004141675703,0.4521953676062826,0.4897939726722483,0.3951191697857449,0.9315975330306746,0.7081496971526168,0.6723166205570912
Jogulamba Gadwal,2020,11,2020-11-01,21.356693800000983,24.30265479565115,0.3197553176304173,0.5240441560335398,1.3931286035369177,144.81400419946513,0.4357147257794314,0.6062681788321165,0.18493442960180562,0.8860146630673102,0.570102654188488,0.542400167905344
Jogulamba Gadwal,2020,12,2020-12-01,1.903764658459376,23.20385882190902,0.2798897634706006,0.4877084828621649,-0.17620320023676828,21.356693800000983,0.3197553176304173,0.5240441560335398,0.02727352239113203,0.5652891307598646,0.5090981926613861,0.3388446997926759
Jogulamba Gadwal,2021,1,2021-01-01,5.016882945985895,24.509648043179915,0.2614344198721616,0.4468016054962275,-0.8896681072831485,1.903764658459376,0.2798897634706006,0.4877084828621649,0.0024311987860188,0.45502726169092345,0.4404190735297731,0.27106719889673153
Jogulamba Gadwal,2021,2,2021-02-01,1.653646803473006,24.887336688966155,0.236341880022404,0.4324712049198172,-0.9902240591358297,5.016882945985895,0.2614344198721616,0.4468016054962275,0.006406800164968814,0.4039826764001827,0.416359566870618,0.2474277040001842
Jogulamba Gadwal,2021,3,2021-03-01,0.1724694237174459,28.5673727514784,0.2346542255757675,0.4102209610784956,-0.9990598519093111,1.653646803473006,0.236341880022404,0.4324712049198172,0.002111786287891755,0.33458064745987104,0.3790033264072964,0.2104776387805644
Jogulamba Gadwal,2021,4,2021-04-01,19.75258627452493,30.865509772788627,0.2394797914828232,0.3515740976299195,-0.9238551044059895,0.1724694237174459,0.2346542255757675,0.4102209610784956,0.0002202517268634147,0.3299128600039973,0.2805403006072851,0.1881613048138013
Jogulamba Gadwal,2021,5,2021-05-01,50.98553474093404,30.892650338540367,0.2811535453439182,0.3108886406465174,-0.6720861800809679,19.75258627452493,0.2394797914828232,0.3515740976299195,0.025225000137474377,0.34325961831304486,0.212232927201807,0.1898404328205691
