Feature,Importance
Soil_Moisture,0.2403485484590599
Rainfall_lag1,0.17292968408855763
Rainfall,0.16855209195006995
Groundwater_Proxy,0.14953238740327118
SoilMoisture_lag1,0.1335624759770645
Temperature,0.04764318547510207
NDVI,0.04414283268457677
NDVI_lag1,0.043288793962298025
