Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9425287356321839,0.9374032203952817,0.9425287356321839,0.9386435914058765
XGBoost,0.9383490073145245,0.9395617777976576,0.9383490073145245,0.9388822347005198
Stacking Ensemble,0.9498432601880877,0.9477638921751907,0.9498432601880877,0.948525986805464
