District,Year,Month,Rainfall,Temperature,Soil_Moisture,NDVI
Adilabad,2013,1,3.75023436121078,22.838567386103172,0.1534655885339432,0.4321140671159527
Adilabad,2013,2,7.088827217442713,24.879025297606997,0.1783100266292301,0.390568051837149
Adilabad,2013,3,4.261150797067348,29.37783456393006,0.1483993318924555,0.3297923375184637
Adilabad,2013,4,48.85589718242676,32.11839695321152,0.1710432552863826,0.2889196778064992
Adilabad,2013,5,3.470157498593009,36.15315586221023,0.1458154072011531,0.2629864602566469
Adilabad,2013,6,382.2073556590504,27.239641332634164,0.3666678608720885,0.3984338753231165
Adilabad,2013,7,472.75300823651287,24.82808317076994,0.4253244908610762,0.3512775549298376
Adilabad,2013,8,288.2327553566543,24.779736345647127,0.4255524394646075,0.5207311599889214
Adilabad,2013,9,169.24360172266998,25.79685745229868,0.3956386972134988,0.7287922151957165
Adilabad,2013,10,187.511587122134,24.84606163955659,0.3968352240021358,0.7359630375072123
Adilabad,2013,11,8.87553674604667,22.36948795857033,0.2730368849954523,0.6747728766617423
Adilabad,2013,12,1.300793278986158,20.73093197554578,0.2104200595700697,0.54599558915176
Adilabad,2014,1,2.498244581215691,22.52038813078261,0.156686340941193,0.4742452731553072
Adilabad,2014,2,3.53042580670638,23.928478652112663,0.1578900843891209,0.401876810406519
Adilabad,2014,3,97.83227190614686,26.28151580034533,0.2762064902138421,0.3919028396629346
Adilabad,2014,4,11.216691247844585,31.714015716898317,0.1569437096501618,0.3686529876754061
Adilabad,2014,5,43.15997254644995,33.3038277090604,0.1545250620462507,0.3364633620291727
Adilabad,2014,6,71.6190617453752,33.03543682549168,0.1737146437676808,0.3560454729043574
Adilabad,2014,7,366.65241838503897,27.025864827502105,0.3430335028287107,0.5430635743629988
Adilabad,2014,8,246.99482041054716,26.470821658285196,0.3744190099760557,0.6615959379615953
Adilabad,2014,9,171.87666580113174,26.04158864086259,0.387139035825676,0.7187939577178726
Adilabad,2014,10,8.902706484667863,26.25278647760525,0.2583109417824069,0.6832992383677989
Adilabad,2014,11,16.637767604249383,24.70000338552036,0.2418508596790456,0.6096900710856724
Adilabad,2014,12,17.43866423416118,21.331030364216893,0.1681576013480809,0.5151011176796598
Adilabad,2015,1,7.548761767315729,21.362560740648867,0.1847991631571255,0.468276115906573
Adilabad,2015,2,5.179755844994904,25.552825649768906,0.1451586449629246,0.3958047027189215
Adilabad,2015,3,32.9380231026824,27.23310876558128,0.2346537482157985,0.3825792893740767
Adilabad,2015,4,41.32845326781332,29.64733993036304,0.2264926297073191,0.3751333998799851
Adilabad,2015,5,11.33231284081324,33.81327155873255,0.1899220784510888,0.3321897133493351
Adilabad,2015,6,293.57244096959386,28.935075586182165,0.3131444333668082,0.4287964849519941
Adilabad,2015,7,137.21998258760246,27.971050528548748,0.3010536899562637,0.600563380492984
Adilabad,2015,8,262.53147490630295,26.006131272826376,0.3928021453482508,0.748306670051699
Adilabad,2015,9,216.3745767379503,26.53102168514091,0.3859560062233576,0.7455781907773259
Adilabad,2015,10,14.133460890849756,27.23640488150029,0.2519373545265377,0.6519608659527324
Adilabad,2015,11,6.300392387714562,25.4693016837662,0.1596954347596033,0.555795701394018
Adilabad,2015,12,1.2949490674561126,24.11910048539468,0.1501192118428723,0.4448523061474181
Adilabad,2016,1,2.420674929739147,23.162987252461438,0.1443341598038948,0.3891319325500335
Adilabad,2016,2,24.16945779292996,27.536834047697987,0.1455258344195873,0.3254304975997047
Adilabad,2016,3,12.057806770071997,30.040394958250378,0.1717239165105958,0.3103412273818314
Adilabad,2016,4,14.709305326250975,34.34702176128962,0.1495202822377482,0.272054290528065
Adilabad,2016,5,20.58734295158795,34.27335028483353,0.1627952973618746,0.2485748419036189
Adilabad,2016,6,262.63219806547124,30.639740610960057,0.2670424900143172,0.2900076370937962
Adilabad,2016,7,480.73709041034135,25.717469791626787,0.4225811039809208,0.4785571235690546
Adilabad,2016,8,170.21545826201998,26.142977028294776,0.376586627330939,0.658140813100074
Adilabad,2016,9,279.6147901663326,25.132574343653967,0.4161224717335143,0.5918046713441654
Adilabad,2016,10,53.33981144089523,25.0475095331176,0.3448855842647642,0.7104059430391435
Adilabad,2016,11,3.5196342789120028,23.167304223757284,0.1901088465244218,0.6092990664787298
Adilabad,2016,12,32.78618420225243,21.48562948773709,0.1535919690685575,0.5279311816774132
Adilabad,2017,1,2.219425588034577,22.195258322974038,0.1474288884466966,0.4496010616691288
Adilabad,2017,2,2.340834972323071,25.96571567303572,0.1442795845401466,0.3828199882293204
Adilabad,2017,3,3.3896551546728206,28.926769658558538,0.1543930302986173,0.3255669243906942
Adilabad,2017,4,8.656928436816881e-05,33.340507205147404,0.1424468422912327,0.2796686923005908
Adilabad,2017,5,20.07617951429901,35.017414342574575,0.1533097499228516,0.2716396706517725
Adilabad,2017,6,231.99359565822832,28.8773879790451,0.3433260129513696,0.482757680945347
Adilabad,2017,7,233.05653927112655,26.56875562013645,0.3831361586314726,0.5282618722304281
Adilabad,2017,8,220.8241695170368,26.032902937383323,0.3915697430269634,0.7046981293851552
Adilabad,2017,9,220.114509029542,26.705737545352157,0.3967411682902347,0.7779128058068678
Adilabad,2017,10,99.55239567026132,25.984899776035423,0.3762418772828894,0.712710351274003
Adilabad,2017,11,7.403026594479305,23.74919921991454,0.2234010700270321,0.6413994576255536
Adilabad,2017,12,1.5066350037554908,22.261028142953208,0.1606845884407111,0.52348970289487
Adilabad,2018,1,2.1653193140122413,22.673632922019344,0.1465046889437999,0.4245115834795456
Adilabad,2018,2,49.21770800712551,25.486637207424906,0.1757913744523195,0.3634699986152138
Adilabad,2018,3,4.235785230441283,29.795890428332235,0.1510200501482308,0.3079070600997044
Adilabad,2018,4,27.96906607880992,32.34219456338814,0.1710599584760833,0.2679080559915067
Adilabad,2018,5,34.334140561960325,35.48970443819615,0.1507867056023155,0.2575795594073118
Adilabad,2018,6,207.35689050581053,29.166785540691123,0.3323851593072319,0.4305056822378139
Adilabad,2018,7,405.4046972675281,25.693475447674853,0.4173824412534056,0.3290689623338257
Adilabad,2018,8,393.03896304765743,25.26722636917256,0.4008880064486168,0.522286991091211
Adilabad,2018,9,81.19431586542392,26.23224405138127,0.3608393599814659,0.7063442485228955
Adilabad,2018,10,16.54441347656666,26.784556532427985,0.226997391744868,0.6369964364844904
Adilabad,2018,11,3.3998617368563373,25.381611808133272,0.1533937217893613,0.532677395157754
Adilabad,2018,12,14.32655389513795,21.5318274466495,0.1626606467317889,0.4726321201070901
